filename	tile_size	pattern_width	rotations	output_size	ground	attempt_limit	output_periodic	input_periodic	location heuristic	choice heuristic	global constraint	backtracking	attempts	time_start	time_adjacency	adjacency_duration	time solve start	time solve end	solve duration	pattern count	choices	wave	backtracks	propagations	outcome	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	8	1627596746.7882407	1627596746.8753204	24.334376096725464	1627596771.2096965	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	9	1627596746.7882407	1627596746.8753204	24.334376096725464	1627596771.2096965	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	10	1627596746.7882407	1627596746.8753204	24.334376096725464	1627596771.2096965	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	1	1627596771.2106972	1627596771.2967749	0.0010013580322265625	1627596771.2977762	None	24.126819372177124	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	2	1627596771.2106972	1627596771.2967749	24.12782073020935	1627596795.4245956	None	0.0010018348693847656	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	3	1627596771.2106972	1627596771.2967749	24.128822565078735	1627596795.4255974	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	4	1627596771.2106972	1627596771.2967749	24.128822565078735	1627596795.4255974	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	5	1627596771.2106972	1627596771.2967749	24.129822492599487	1627596795.4265974	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	6	1627596771.2106972	1627596771.2967749	24.129822492599487	1627596795.4265974	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	7	1627596771.2106972	1627596771.2967749	24.129822492599487	1627596795.4265974	None	0.001001119613647461	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	8	1627596771.2106972	1627596771.2967749	24.130823612213135	1627596795.4275985	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	9	1627596771.2106972	1627596771.2967749	24.130823612213135	1627596795.4275985	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	10	1627596771.2106972	1627596771.2967749	24.131824493408203	1627596795.4285994	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	1	1627596795.4285994	1627596795.5185401	0.0019919872283935547	1627596795.5205321	None	24.30916690826416	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	2	1627596795.4285994	1627596795.5185401	24.31216049194336	1627596819.8307006	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	3	1627596795.4285994	1627596795.5185401	24.31216049194336	1627596819.8307006	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	4	1627596795.4285994	1627596795.5185401	24.31216049194336	1627596819.8307006	None	0.0010013580322265625	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	5	1627596795.4285994	1627596795.5185401	24.313161849975586	1627596819.831702	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	6	1627596795.4285994	1627596795.5185401	24.313161849975586	1627596819.831702	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	7	1627596795.4285994	1627596795.5185401	24.314176082611084	1627596819.8327162	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	8	1627596795.4285994	1627596795.5185401	24.314176082611084	1627596819.8327162	None	0.0009872913360595703	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	9	1627596795.4285994	1627596795.5185401	24.315163373947144	1627596819.8337035	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	False	10	1627596795.4285994	1627596795.5185401	24.315163373947144	1627596819.8337035	None	0.001001119613647461	13	1200	1200	0	2400	contradiction	
